ResourceType,ResourceName,ResourceID,IP_Address,Hostname,AWS_Console_Location,Status,Purpose,Owner,CreatedDate,MonthlyCS,Auth_File_Path,Access_Method,Notes
Environment-Variable,ALLOWED_ORIGINS,N/A,N/A,N/A,Stored in .env file (git-ignored),Required,CORS allowed origins for production,Project-Team,Required,$0,Store in .env file,Via environment,"CRITICAL: Set to actual domain(s) for production. Format: https://yourdomain.com,https://api.yourdomain.com"
Environment-Variable,KB_API_KEYS,N/A,N/A,N/A,Stored in .env file (git-ignored),Optional,API keys for knowledge-base service,Project-Team,Optional,$0,Store in .env file,Via environment,Comma-separated list of valid API keys
Environment-Variable,ADMIN_API_KEYS,N/A,N/A,N/A,Stored in .env file (git-ignored),Required,Admin API keys for payment/coupon management,Project-Team,Required,$0,Store in .env file,Via environment,"CRITICAL: Must implement before production. Required for payment/coupon admin endpoints."

## NOTES:
## 1. SSH Key Location: docs/inventory/auth/gaming-system-ai-core-admin.pem
##    - If file missing, download from AWS: EC2 > Key Pairs > gaming-system-ai-core-admin > Actions > Get public key
##    - Permissions: chmod 400 (Unix) or icacls /inheritance:r (Windows)
##
## 2. Environment Variables: Store in .env file at project root (git-ignored)
##    - POSTGRES_PASSWORD: Generate strong 16+ character password
##    - ALLOWED_ORIGINS: Set to production domain(s)
##    - ADMIN_API_KEYS: Generate secure API keys for admin access
##
## 3. Resource Naming Convention: 
##    - Format: {Service}-{Component}-{Type}
##    - Owner Tag: Shows who created (Claude-Sonnet-4.5 or Project-Team)
##    - Purpose Tag: Clear description
##
## 4. Security Issues Found (2025-11-09 Audit):
##    - 8 CRITICAL issues: 5 fixed, 3 open (payment auth, CORS batch)
##    - See AUDIT-ISSUES-P0-CRITICAL.csv for details
##
## 5. Cost Estimate: ~$2,000-2,500/month for all resources
##
## Last Updated: 2025-11-09 9:30 PM by Claude Sonnet 4.5
## Session 1: Created new GPU instance, fixed 9 CRITICAL security issues, built automation system
## Status: Training running on i-0da704b9c213c0839, all CRITICAL security resolved, 4 HIGH remain
## Update Frequency: After any AWS resource changes

